cid,mw,heavy_atoms,n_carbon,n_oxygen,n_nitrogen,n_sulfur,n_halogen,heteroatoms,logp,molar_refractivity,tpsa,labute_asa,h_donors,h_acceptors,rot_bonds,rings,aromatic_rings,aliphatic_rings,saturated_rings,fraction_csp3,valence_electrons,bertz_complexity,tag_acid,tag_aromatic,tag_chlorine,tag_citrus,tag_fatty,tag_floral,tag_fruity,tag_green,tag_mint,tag_musty,tag_pungent,tag_rose,tag_spicy,tag_sweet,tag_woody,n_tags,primary_tag_id
10477,61.471,3,1,0,1,0,1,2,0.7063,11.466,23.79,23.435,0,1,0,0,0,0,0,0.0,16,26.265,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,10
10478,152.922,3,1,0,1,0,1,2,0.9025,19.633,23.79,32.394,0,1,0,0,0,0,0,0.0,16,26.265,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,15
10482,122.949,4,2,1,0,0,1,2,0.9278,19.608,17.07,33.133,0,1,0,0,0,0,0,0.5,24,29.02,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,15
10509,196.031,13,1,8,4,0,0,12,-1.2955,30.7086,172.56,67.351,0,8,4,0,0,0,0,1.0,72,231.009,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,15
10658,186.166,14,11,3,0,0,0,3,2.5392,52.256,43.35,78.555,0,3,0,3,3,0,0,0.0,68,660.655,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
10686,120.195,9,9,0,0,0,0,0,2.6119,40.653,0.0,56.526,0,0,0,1,1,0,0,0.3333,48,191.028,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,13
10687,122.167,9,8,1,0,0,0,1,2.009,37.5808,20.23,54.956,1,1,0,1,1,0,0,0.25,48,195.558,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,14
10757,154.596,10,8,1,0,0,1,2,2.1081,41.4925,17.07,64.626,0,1,2,1,1,0,0,0.125,52,217.959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
10760,226.272,16,12,4,0,0,0,4,1.9816,58.738,52.6,95.608,0,4,4,1,0,1,0,0.6667,90,314.98,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,13
10788,162.283,9,5,0,2,2,0,4,0.7967,45.449,6.48,65.195,0,3,0,1,0,1,1,0.8,52,126.126,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,15
10795,90.122,6,4,2,0,0,0,2,0.6252,23.48,18.46,38.061,0,2,2,0,0,0,0,1.0,38,24.729,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2,4
10836,149.237,11,10,0,1,0,0,1,1.837,48.6677,12.03,68.441,1,1,3,1,1,0,0,0.4,60,193.288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
10868,206.333,15,13,0,2,0,0,2,3.8257,63.609,24.72,92.898,0,2,2,2,0,2,2,0.9231,84,206.921,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,14
10900,96.944,4,2,0,0,0,2,2,1.9352,20.846,0.0,35.021,0,0,0,0,0,0,0,0.0,24,19.219,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,14
